Name of the Product,Brand Name,Product Type,Selling Price (INR),Original Price (INR),Size (Inch),Size (cm),Resolution,Discount (%),Bank Offer,Limited Time Deal
"Sony BRAVIA 80 cm (32 inches) HD Ready Smart LED Google TV, KD-32W835, Black",Sony,Television,26990,34900,32,80,HD READY,22,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"ONEPLUS 108 cm (43 inch) Full HD Smart LED TV, 43Y1",ONEPLUS,Television,24998,29990,43,108,FULL HD,16,Limited Offer Price,No Limited Time Deal
"Haier 80 cm (32 inch) QLED Google TV, 32S80",Haier,Television,16990,33990,32,80,HD READY,50,No Bank Offer,No Limited Time Deal
"TCL 190.5 cm (75 inch) Ultra HD (4K) Google TV, 75P755 PRO, Black",TCL,Television,69990,259990,75,190.5,4K,73,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"BPL 109 cm (43 inch) FHD Onkyo Home Theatre Smart LED Google TV with Dolby Audio, 43F-E5340",BPL,Television,22999,42990,43,109,FHD,46,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
Sansui 140 cm (55 Inches) 4K Ultra HD Smart Google QLED TV JSW55GQLED,Sansui,Television,38989,59990,55,140,4K,35,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Reconnect 80 cm (32 inch) HD Smart TV, 32H3231S",Reconnect,Television,10989,18990,32,80,HD READY,42,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
Realme 139 cm (55 inch) Ultra HD (4K) LED Smart TV,Realme,Television,29989,69999,55,139,4K,57,Limited Offer Price,No Limited Time Deal
"Samsung 80 cm (32 inch) HD Smart LED TV, Series 4 32T4350AK",Samsung,Television,17490,24900,32,80,HD READY,29,No Bank Offer,No Limited Time Deal
SKYLIVE 101.6 cm (40 inches) Bezel-Less Full HD Smart Android LED TV (SL40S1) SL5000 (2024 Model),SKYLIVE,Television,12988,21799,40,101.6,FULL HD,40,No Bank Offer,No Limited Time Deal
"LG 165 cm (65 inches) 4K Ultra HD Smart LED TV, 65UT8050",LG,Television,75990,131990,65,165,4K,42,No Bank Offer,Limited Time Deal
"LG 190 cm (75 inches) 4K Ultra HD Smart LED TV, 75UT8050",LG,Television,108990,235990,75,190,4K,53,No Bank Offer,Limited Time Deal
"LG 109.22 cm (43 inch) 4K Ultra HD TV, Ashed Blue, 43UT80506LA",LG,Television,37990,60990,43,109.22,4K,37,No Bank Offer,Limited Time Deal
"Sony BRAVIA 2 165 cm (65 inches) 4K Ultra HD Smart LED Google TV, K-65S25, Black",Sony,Television,79190,139900,65,165,4K,43,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",Limited Time Deal
"Hisense 139.7 cm (55 inches) 4K Ultra HD Smart Certified LED TV, 55A6N, Black",Hisense,Television,36999,59999,55,139.7,4K,38,No Bank Offer,No Limited Time Deal
"Hisense 109.22 cm (43 inches) 4K Ultra HD Smart Certified LED TV, 43A6N, Black",Hisense,Television,24998,44999,43,109.22,4K,44,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Redmi 80 cm (32 inch) HD Ready TV, F Series ELA5115IN",Redmi,Television,10999,24999,32,80,HD READY,56,No Bank Offer,Limited Time Deal
"Sony Bravia 139 cm (55 inches) 4K Ultra HD Smart LED Google TV KD-55X82L, Black",Sony,Television,62999,129900,55,139,4K,51,No Bank Offer,Limited Time Deal
"LYF 109.22 cm (43 Inch) UHD Smart TV, LD43UL7000A, Black",LYF,Television,16990,44000,43,109.22,UHD,61,No Bank Offer,No Limited Time Deal
"Mi 109.22 cm (43 inch) Ultra HD (4K) LED Smart TV, 5X, ELA4692IN",Mi,Television,31999,49999,43,109.22,4K,36,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Samsung 108 cm (43 inch) Ultra HD (4K) LED Smart TV, 7 Series 43AU7700",Samsung,Television,24990,54990,43,108,4K,54,No Bank Offer,No Limited Time Deal
SKYLIVE 80 cm (32 inches) Bezel-Less Smart Android TV (SL32S1) SL4000 (2024 Model),SKYLIVE,Television,8498,12999,32,80,HD READY,34,No Bank Offer,No Limited Time Deal
"Sansui 165 cm (65 inches) 4K Ultra HD Smart Android LED TV, JSW65ASUHDFF",Sansui,Television,46988,70290,65,165,4K,33,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
Hisense 108 cm (43 inch) 4K Ultra HD QLED Smart TV 43E7K (Black),Hisense,Television,27999,46999,43,108,4K,40,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
TOSHIBA 108 cm (43 inch) 4K Ultra HD Smart LED Google TV 43C350MP (Silver),TOSHIBA,Television,24499,44999,43,108,4K,45,Limited Offer Price,No Limited Time Deal
"Samsung 138 cm (55 Inch) 4K QLED Smart TV (QA55Q70DAULXL, Titan Gray)",Samsung,Television,82490,101900,55,138,4K,19,No Bank Offer,Limited Time Deal
"AKAI 109 cm (43 Inch) Bezel-Less 4K UHD Smart QLED Google TV, AL43GQU-SFWS",AKAI,Television,27989,57990,43,109,4K,51,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Samsung 127 cm (50 inch) 4K Ultra HD Smart LED TV, CUE 50CUE60A",Samsung,Television,37990,71400,50,127,4K,46,No Bank Offer,Limited Time Deal
"Aiwa 139 cm (55 Inch) Ultra HD (4K) Smart TV, Magnifiq A55UHDX2, Black",Aiwa,Television,29988,99990,55,139,4K,70,No Bank Offer,No Limited Time Deal
"LG 139.7 cm (55 inch) 4K QNED Smart TV, Black with Dolby Vision & Dolby Atmos 55QNED82T6A",LG,Television,66990,125990,55,139.7,4K,46,Limited Offer Price,Limited Time Deal
"Samsung 139.7 cm (55 inch) 4K Ultra HD Smart LED TV, CUE 55CUE60A",Samsung,Television,41990,76900,55,139.7,4K,45,Limited Offer Price,Limited Time Deal
Xiaomi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio,Xiaomi,Television,21998,29999,40,100,FULL HD,26,"Flat 5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Samsung 165.1 cm (65 inch) 4K Ultra HD Smart LED TV, CUE 65CUE60A",Samsung,Television,58990,125900,65,165.1,4K,53,Limited Offer Price,Limited Time Deal
"Samsung 138 cm (55 Inch) 4K OLED Smart TV (QA55S90DAULXL, Graphite Black)",Samsung,Television,154490,189900,55,138,4K,18,No Bank Offer,No Limited Time Deal
TCL 139.7 cm (55 inch) QD-Mini LED Google TV 55C755,TCL,Television,59990,99990,55,139.7,Not Mentioned,40,"Flat 12.5% Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Panasonic 109.22 cm (43 inch) Full HD Smart LED TV, LS680 TH-43LS680DX",Panasonic,Television,24989,43990,43,109.22,FULL HD,43,No Bank Offer,No Limited Time Deal
"Karbonn 80 cm (32 inch) HD Ready LED TV, Millenium Series KJW32NSHD",Karbonn,Television,7990,16990,32,80,HD READY,52,No Bank Offer,No Limited Time Deal
LG 139 cm (55 inch) 4K UHD Smart TV 55UQ7500,LG,Television,53290,71990,55,139,4K,25,No Bank Offer,No Limited Time Deal
"Reconnect 109 cm (43 inch) Ultra HD Smart TV, 43U4331S",Reconnect,Television,21989,27990,43,109,Not Mentioned,21,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Kodak 126 cm (50 Inch) Matrix Series 4K Ultra HD Smart QLED Google TV, 50MT5011, Black",Kodak,Television,26499,49999,50,126,4K,47,"Instant Discount On HDFC, ICICI, AXIS, SBI CC*",No Limited Time Deal
"Samsung 108 cm (43 Inch) 4K Ultra HD Smart TV (UA43DU7700KLXL, Black)",Samsung,Television,40990,51400,43,108,4K,20,Limited Offer Price,Limited Time Deal
"Samsung 163 cm (65 Inch) 4K Ultra HD Smart TV (UA65DU8300ULXL, Titan Gray)",Samsung,Television,82990,106900,65,163,4K,22,No Bank Offer,Limited Time Deal
"Hisense 190.5 cm (75 inch) Ultra HD (4K) Smart QLED TV, 75Q6N, Grey",Hisense,Television,84999,149999,75,190.5,4K,43,No Bank Offer,No Limited Time Deal
"Samsung 138 cm (55 Inch) 4K Neo-QLED Smart TV (QA55QN85DBULXL, Graphite Black)",Samsung,Television,118990,161900,55,138,4K,26,No Bank Offer,No Limited Time Deal
